property_type,seller_name,price(rs),area_insqft,location
3 BHK Apartment,Raunaq Foundations,8549200,1276,Pallavaram
3 BHK Apartment,Raunaq Foundations,8576000,1280,Pallavaram
2 BHK Apartment,Raunaq Foundations,6840700,1021,Pallavaram
2 BHK Apartment,Raunaq Foundations,6170700,921,Pallavaram
3 BHK Apartment,Raunaq Foundations,17307500,1505,Aminjikarai
3 BHK Apartment,Raunaq Foundations,8864100,1323,Pallavaram
2 BHK Apartment,Raunaq Foundations,12178500,1059,Aminjikarai
2 BHK Apartment,Raunaq Foundations,6324800,944,Pallavaram
3 BHK Apartment,Raunaq Foundations,19883500,1729,Aminjikarai
3 BHK Apartment,Raunaq Foundations,6385100,953,Pallavaram
3 BHK Apartment,Raunaq Foundations,8984700,1341,Pallavaram
3 BHK Apartment,Raunaq Foundations,8549200,1276,Pallavaram
3 BHK Apartment,Raunaq Foundations,8576000,1280,Pallavaram
2 BHK Apartment,Raunaq Foundations,6840700,1021,Pallavaram
2 BHK Apartment,Raunaq Foundations,6170700,921,Pallavaram
3 BHK Apartment,Raunaq Foundations,17307500,1505,Aminjikarai
3 BHK Apartment,Nahar Foundation?s Pvt Ltd,32096000,1888,Egmore
4 BHK Apartment,Nahar Foundation?s Pvt Ltd,59109000,3477,Egmore
3 BHK Apartment,Nahar Foundation?s Pvt Ltd,32232000,1896,Egmore
3 BHK Apartment,Nahar Foundation?s Pvt Ltd,31671000,1863,Egmore
3 BHK Apartment,Sasikumar,9063000,1140,Madipakkam
3 BHK Apartment,Sasikumar,11980650,1507,Madipakkam
3 BHK Apartment,Sasikumar,12807450,1611,Madipakkam
3 BHK Apartment,Sasikumar,12592800,1584,Madipakkam
3 BHK Apartment,Sasikumar,8943750,1125,Madipakkam
3 BHK Apartment,Sasikumar,12386100,1558,Madipakkam
3 BHK Apartment,Sasikumar,9245850,1163,Madipakkam
3 BHK Apartment,Sasikumar,8752950,1101,Madipakkam
3 BHK Apartment,Hanu Homes,7424560,1430,Perumbakkam
3 BHK Apartment,Sasikumar,9245850,1163,Madipakkam
3 BHK Apartment,Sasikumar,8752950,1101,Madipakkam
3 BHK Apartment,Hanu Homes,7424560,1430,Perumbakkam
3 BHK Apartment,Hanu Homes,7788000,1500,Perumbakkam
3 BHK Apartment,Hanu Homes,7616664,1467,Perumbakkam
3 BHK Apartment,Newry Properties P Ltd,8447624,1426,Avadi
3 BHK Apartment,Doshi Housing,11834605,1579,Karapakkam
2 BHK Apartment,Doshi Housing,8162055,1089,Karapakkam
2 BHK Apartment,Doshi Housing,4811790,642,Karapakkam
2 BHK Apartment,Doshi Housing,4691870,626,Karapakkam
3 BHK Apartment,Doshi Housing,12119415,1617,Karapakkam
2 BHK Apartment,Doshi Housing,7397565,987,Karapakkam
2 BHK Apartment,Doshi Housing,8177045,1091,Karapakkam
2 BHK Apartment,Doshi Housing,8259490,1102,Karapakkam
2 BHK Apartment,Nahar Foundation?s Pvt Ltd,7194400,984,Sholinganallur
2 BHK Apartment,Nahar Foundation?s Pvt Ltd,7220800,988,Sholinganallur
2 BHK Apartment,Nahar Foundation?s Pvt Ltd,7042600,961,Sholinganallur
2 BHK Apartment,Nahar Foundation?s Pvt Ltd,6937000,945,Sholinganallur
2 BHK Apartment,Nahar Foundation?s Pvt Ltd,7029400,959,Sholinganallur
2 BHK Apartment,Nahar Foundation?s Pvt Ltd,7128400,974,Sholinganallur
2 BHK Apartment,Nahar Foundation?s Pvt Ltd,7128400,974,Sholinganallur
2 BHK Apartment,Nahar Foundation?s Pvt Ltd,6805000,925,Sholinganallur
2 BHK Apartment,Nahar Foundation?s Pvt Ltd,7544400,964,Sholinganallur
2 BHK Apartment,Nahar Foundation?s Pvt Ltd,6838000,930,Sholinganallur
3 BHK Apartment,Newry Properties P Ltd,8447624,1426,Avadi
2 BHK Apartment,Navin Housing Properties P LTD,7200000,1174,Thirumudivakkam
2 BHK Apartment,Navin Housing Properties P LTD,10500000,1285,Vengaivasal
2 BHK Apartment,Navin Housing Properties P LTD,4200000,619,Thirumudivakkam
2 BHK Apartment,Navin Housing Properties P LTD,6600000,1155,Thirumudivakkam
2 BHK Apartment,Navin Housing Properties P LTD,8500000,1031,Vengaivasal
2 BHK Apartment,Navin Housing Properties P LTD,4300000,610,Thirumudivakkam
2 BHK Apartment,Navin Housing Properties P LTD,7100000,877,Vengaivasal
3 BHK Apartment,Navin Housing Properties P LTD,8300000,1385,Thirumudivakkam
2 BHK Apartment,Navin Housing Properties P LTD,7700000,976,Vengaivasal
2 BHK Apartment,Navin Housing Properties P LTD,4200000,607,Thirumudivakkam
2 BHK Apartment,Navin Housing Properties P LTD,9900000,1138,Vengaivasal
3 BHK Apartment,Navin Housing Properties P LTD,9000000,1519,Thirumudivakkam
2 BHK Apartment,Navin Housing Properties P LTD,9700000,1037,Vengaivasal
3 BHK Apartment,Navin Housing Properties P LTD,8500000,1427,Thirumudivakkam
2 BHK Apartment,Navin Housing Properties P LTD,7200000,882,Vengaivasal
3 BHK Apartment,Navin Housing Properties P LTD,8800000,1497,Thirumudivakkam
2 BHK Apartment,Navin Housing Properties P LTD,8000000,995,Vengaivasal
3 BHK Apartment,Navin Housing Properties P LTD,8500000,1431,Thirumudivakkam
2 BHK Apartment,Navin Housing Properties P LTD,4000000,615,Thirumudivakkam
2 BHK Apartment,Tulive GK Shetty,4951775,1025,East  Tambaram
2 BHK Apartment,Tulive GK Shetty,4946944,1024,East  Tambaram
2 BHK Apartment,Tulive GK Shetty,4990423,1033,East  Tambaram
2 BHK Apartment,Tulive GK Shetty,4922789,1019,East  Tambaram
