property_type,seller_name,price(rs),area_insqft,location
2 BHK Independent House,Lakshmanan,2920000,780,Veppampattu
2 BHK Villa,Lakshmanan,3542600,980,Veppampattu
2 BHK Independent House,Lakshmanan,2920000,780,Veppampattu
2 BHK Villa,Lakshmanan,3542600,980,Veppampattu
2 BHK Independent House,Lakshmanan,2910000,880,Veppampattu
2 BHK Independent House,Lakshmanan,3562000,987,Veppampattu
2 BHK Independent House,Lakshmanan,3845000,950,Veppampattu
2 BHK Independent House,Lakshmanan,3582000,855,Veppampattu
2 BHK Villa,Lakshmanan,2930000,780,Veppampattu
2 BHK Independent House,karthick,5580000,950,Kattankulathur
3 BHK Apartment,Madras elite estates,34000000,2512,Velachery
2 BHK Independent House,karthick,3780000,900,Padianallur
2 BHK Independent House,karthick,5885000,900,Guduvancheri
2 BHK Independent House,Lakshmanan,4000000,1020,Veppampattu
2 BHK Apartment,IRASI Housing Pvt Ltd,5400000,938,Perumanttunallur
1 BHK Apartment,IRASI Housing Pvt Ltd,2900000,536,Perumanttunallur
3 BHK Villa,Anjali Properties,17491346,2276,Mambakkam
2 BHK Independent House,karthick,4300000,830,Padianallur
2 BHK Independent House,karthick,4600000,900,Padianallur
2 BHK Independent House,karthick,4719200,880,Karanodai
2 BHK Independent House,karthick,5000000,700,Kandigai
3 BHK Apartment,Mageshwaran,9500000,1191,Chromepet
2 BHK Apartment,Mageshwaran,6645000,726,Chromepet
2 BHK Apartment,Mageshwaran,8175000,930,Chromepet
2 BHK Independent House,Rohith Homes,9000000,1400,Mangadu
1 BHK Apartment,Vbrix Consulting,3271520,560,Thirumalpur
3 BHK Apartment,Vbrix Consulting,3967095,885,Thirumazhisai
2 BHK Apartment,Vbrix Consulting,3387010,730,Thirumazhisai
1 BHK Apartment,Vbrix Consulting,3750000,633,Thirumazhisai
3 BHK Apartment,Vbrix Consulting,5850000,1065,Thirumazhisai
2 BHK Apartment,Vbrix Consulting,3832366,849,Thirumazhisai
2 BHK Apartment,Vbrix Consulting,5100000,881,Thirumazhisai
1 BHK Apartment,Vbrix Consulting,3563620,610,Thirumalpur
2 BHK Apartment,SS PROPERTIES,4263000,735,Pammal
2 BHK Apartment,SS PROPERTIES,6100000,1050,Pammal
2 BHK Independent House,karthick,5400000,880,Guduvancheri
3 BHK Independent House,karthick,6700000,1050,Potheri
2 BHK Independent House,karthick,5500000,940,Peerakankaranai
2 BHK Independent House,karthick,5500500,900,Guduvancheri
2 BHK Independent House,karthick,4000000,750,Padianallur
2 BHK Independent House,karthick,4400000,900,T.V Puram
2 BHK Independent House,karthick,4300000,750,Puzhal
3 BHK Independent House,Phoneix Homes,5985800,1100,Guduvancheri
3 BHK Apartment,RPC REALTY,40000000,1700,Mylapore
3 BHK Apartment,RPC REALTY,43000000,2350,Mylapore
3 BHK Apartment,RPC REALTY,90000000,2350,Mylapore
3 BHK Apartment,RPC REALTY,40000000,1850,T Nagar
3 BHK Apartment,RPC REALTY,46500000,2150,T Nagar
2 BHK Independent House,Karthick,2900000,700,Kumaran Nagar
2 BHK Independent House,Karthick,3400000,800,Kumaran Nagar
1 BHK Independent House,Karthick,2400000,510,Kumaran Nagar
4 BHK Apartment,Square feet,22000000,2160,Manapakkam
4 BHK Apartment,Square feet,22000000,2162,Manapakkam
4 BHK Apartment,Square feet,21000000,2162,Manapakkam
2 BHK Apartment,Square feet,7500000,1174,Koyambedu
4 BHK Apartment,Square feet,21500000,2160,Manapakkam
3 BHK Villa,Agila Ravi,16500000,2300,Kolathur
2 BHK Independent House,Lakshmanan,3546000,987,Veppampattu
2 BHK Independent House,Lakshmanan,3620000,880,Veppampattu
2 BHK Independent House,Lakshmanan,3674000,900,Veppampattu
2 BHK Villa,Lakshmanan,3376000,790,Veppampattu
2 BHK Independent House,Lakshmanan,3530000,976,Veppampattu
2 BHK Independent House,Elite Estate,2974800,987,Rathinamangalam
2 BHK Independent House,Radhabalan constructions,8200000,983,Chikkarayapuram
2 BHK Apartment,Upendra,6682502,713,Perambur
2 BHK Apartment,Upendra,7072500,754,Madhavaram
1 RK Studio Apartment,Upendra,4905002,523,Madhavaram
2 BHK Apartment,sathish,9100000,864,Jafferkhanpet
2 BHK Apartment,Upendra,5287502,564,Madhavaram
2 BHK Apartment,sathish,11000000,964,Annanagar West
2 BHK Independent House,Rohith Homes,7200000,1000,Kovur
2 BHK Apartment,MJ Promoters,4500000,958,Pallikaranai
5 BHK Independent House,Shreedevi Royal Marketing,15000000,2400,Cholavaram
1 BHK Villa,Shreedevi Royal Marketing,1800000,600,Kumaran Nagar
1 BHK Apartment,Sree sai shubham realty,3200000,536,Guduvancheri
2 BHK Apartment,Madras elite estates,6500000,900,Korattur
2 BHK Apartment,Swarna foundation,7588600,1054,Vyasarpadi
3 BHK Independent Floor,Swarna foundation,7400000,1050,Vyasarpadi
3 BHK Apartment,Swarna foundation,7588800,1054,Vyasarpadi
3 BHK Apartment,Swarna foundation,7761600,1078,Vyasarpadi
3 BHK Apartment,Swarna foundation,7588800,1054,Vyasarpadi
2 BHK Apartment,Swarna foundation,5376000,1120,Puzhal
2 BHK Villa,karthick,5900000,860,Guduvancheri
2 BHK Independent House,karthick,5650000,790,Kattankulathur
2 BHK Apartment,Swarna foundation,5376000,1120,Puzhal
2 BHK Apartment,Property Pistol Pvt Ltd,8242060,1030,Tiruvottiyur
4 BHK Apartment,Property Pistol Pvt Ltd,15483870,1935,Tiruvottiyur
4 BHK Apartment,Property Pistol Pvt Ltd,92201600,3200,Royapettah
2 BHK Independent House,Rohith Homes,6500000,850,Kovur
2 BHK Villa,UNITED DEVELOPERS AND PROMOTERS,5000000,1158,Pavendar Salai
3 BHK Independent House,IRAIVAN VILLAS,7200000,1300,Kovur
3 BHK Independent House,IRAIVAN VILLAS,11000000,2500,Kovur
2 BHK Independent House,IRAIVAN VILLAS,10400000,1600,Kovur
3 BHK Independent House,IRAIVAN VILLAS,11000000,2600,Kovur
2 BHK Independent House,IRAIVAN VILLAS,6600000,900,Kovur
2 BHK Independent House,IRAIVAN VILLAS,8400000,1250,Kovur
3 BHK Apartment,SR REALESTATE,22000000,1580,Thiruvanmiyur
2 BHK Independent House,Phoneix Homes,6065700,750,Urapakkam
1 BHK Independent House,Phoneix Homes,5015500,600,Urapakkam
2 BHK Villa,Phoneix Homes,5485200,700,Urapakkam
2 BHK Villa,karthick,3710072,750,T.V Puram
3 BHK Apartment,CBS PROPERTIES,29835000,1750,Anna Nagar
1 BHK Independent House,Phoneix Homes,5015500,600,Urapakkam
2 BHK Villa,Phoneix Homes,5485200,700,Urapakkam
2 BHK Independent House,karthick,5450000,800,Guduvancheri
2 BHK Independent House,karthick,6560000,1200,Guduvancheri
3 BHK Independent House,Phoneix Homes,6774000,900,Urapakkam
2 BHK Villa,karthick,4000000,600,Vadaperumbakkam
2 BHK Apartment,SS PROPERTIES,6090700,1050,Pammal
2 BHK Apartment,HANNAH FOUNDATIONS,6195200,968,Iyyappanthangal
3 BHK Apartment,HANNAH FOUNDATIONS,7571200,1183,Iyyappanthangal
2 BHK Apartment,HANNAH FOUNDATIONS,5619200,878,Iyyappanthangal
2 BHK Apartment,HANNAH FOUNDATIONS,5190400,811,Iyyappanthangal
1 BHK Apartment,HANNAH FOUNDATIONS,2816000,440,Iyyappanthangal
1 BHK Apartment,HANNAH FOUNDATIONS,3532800,552,Iyyappanthangal
1 BHK Apartment,HANNAH FOUNDATIONS,2508800,392,Iyyappanthangal
2 BHK Apartment,HANNAH FOUNDATIONS,5427200,848,Iyyappanthangal
2 BHK Apartment,AV construction,8194109,977,Medavakkam
3 BHK Apartment,AV construction,8555040,1170,Madipakkam
3 BHK Apartment,AV construction,8380223,1176,Pallikaranai
3 BHK Apartment,AV construction,8208000,1140,Madipakkam
2 BHK Apartment,AV construction,7036564,990,Pallikaranai
1 BHK Apartment,AV construction,4320000,600,Madipakkam
2 BHK Apartment,AV construction,7138321,1005,Pallikaranai
2 BHK Apartment,AV construction,5832000,810,Madipakkam
2 BHK Apartment,AV construction,6696000,930,Madipakkam
3 BHK Apartment,AV construction,7030800,1116,Madipakkam
2 BHK Apartment,AV construction,5418000,860,Madipakkam
2 BHK Villa,Lakshmanan,2875000,882,Veppampattu
2 BHK Independent House,Lakshmanan,3745000,974,Veppampattu
2 BHK Independent House,Lakshmanan,3641000,875,Veppampattu
6 BHK Apartment,Veekay realty,15000000,5000,Puzhal
3 BHK Villa,Hi tech Durai,6500000,900,Siruseri
3 BHK Villa,Hi tech Durai,6500000,1300,Pudupakkam
2 BHK Villa,Hi tech Durai,3500000,800,Padianallur
2 BHK Independent House,JD properties,2576000,700,Kumaran Nagar
4 BHK Villa,GL Reddy Home Enterprises,28000000,2036,Perungudi
2 BHK Villa,Phoneix Homes,5395200,700,Guduvancheri
2 BHK Independent House,Phoneix Homes,5965600,750,Guduvancheri
3 BHK Villa,Phoneix Homes,6785000,900,Guduvancheri
4 BHK Apartment,KAP VENTURES,30000000,2752,Navallur
2 BHK Apartment,KAP VENTURES,13500000,1295,Egattur
2 BHK Apartment,Swarna foundation,3710000,770,Madanankppam
2 BHK Apartment,Swarna foundation,7588800,1054,Vyasarpadi
2 BHK Villa,Phoneix Homes,5395200,700,Guduvancheri
2 BHK Independent House,Phoneix Homes,5965600,750,Guduvancheri
2 BHK Apartment,KAP VENTURES,13500000,1295,Egattur
1 BHK Independent House,Phoneix Homes,4950000,600,Guduvancheri
4 BHK Apartment,KAP VENTURES,30000000,2752,Navallur
2 BHK Apartment,Property Prominence,11000000,1102,Ramapuram
4 BHK Independent House,Sharmi,11722000,2422,Thalambur
2 BHK Independent House,Sharmi,7100000,1000,Sadhanathapuram
2 BHK Independent House,Sharmi,6315000,1000,Peerakankaranai
2 BHK Apartment,Sree Chakraa,7418680,1006,Selaiyur
2 BHK Apartment,Sree Chakraa,7418680,1006,East Tambaram
2 BHK Apartment,KAP VENTURES,13500000,1295,Navallur
4 BHK Apartment,KAP VENTURES,29500000,2752,Navallur
4 BHK Villa,KAP VENTURES,16500000,2220,Padur
3 BHK Apartment,MC Foundation,8901200,1309,Sembakkam
2 BHK Apartment,MC Foundation,7255600,1067,Sembakkam
3 BHK Apartment,MC Foundation,12808800,1779,Rajakilpakkam
3 BHK Apartment,MC Foundation,10123200,1406,Rajakilpakkam
2 BHK Apartment,MC Foundation,6366000,1061,Madambakkam
2 BHK Apartment,MC Foundation,6096000,1016,Madambakkam
3 BHK Apartment,MC Foundation,8901200,1309,Sembakkam
2 BHK Apartment,MC Foundation,7255600,1067,Sembakkam
3 BHK Apartment,MC Foundation,12808800,1779,Rajakilpakkam
3 BHK Apartment,MC Foundation,10123200,1406,Rajakilpakkam
2 BHK Apartment,MC Foundation,6760800,939,Rajakilpakkam
3 BHK Apartment,MC Foundation,10800000,1350,Rajakilpakkam
2 BHK Apartment,MC Foundation,6675000,890,Rajakilpakkam
2 BHK Apartment,MC Foundation,5791200,1016,Madambakkam
2 BHK Apartment,Revahs Construction Services,6200000,878,West Tambaram
4 BHK Apartment,Revahs Construction Services,8750000,1306,Pallavaram
2 BHK Apartment,Revahs Construction Services,6500000,992,Old Pallavaram
3 BHK Apartment,MC Foundation,10941200,1609,Chitlapakkam
3 BHK Apartment,MC Foundation,8901200,1309,Chitlapakkam
2 BHK Apartment,MC Foundation,6602800,971,Chitlapakkam
3 BHK Apartment,MC Foundation,8714700,1263,West Tambaram
2 BHK Apartment,MC Foundation,8280000,920,Virugambakkam
2 BHK Apartment,MC Foundation,8163000,907,Virugambakkam
3 BHK Apartment,MC Foundation,11964600,1734,West Tambaram
2 BHK Apartment,Revahs Construction Services,6500000,992,Old Pallavaram
2 BHK Apartment,MC Foundation,8280000,920,Virugambakkam
3 BHK Apartment,MC Foundation,8714700,1263,West Tambaram
2 BHK Apartment,MC Foundation,8176500,1185,West Tambaram
2 BHK Apartment,MC Foundation,6437700,933,West Tambaram
2 BHK Independent House,Rohith Homes,8200000,1100,Kovur
2 BHK Independent House,Rohith Homes,7500000,950,Kovur
3 BHK Independent House,Rohith Homes,15000000,1800,Kovur
3 BHK Independent House,Rohith Homes,9000000,1800,Kovur
2 BHK Independent House,Rohith Homes,9500000,1350,Kovur
2 BHK Independent House,Rohith Homes,6700000,810,Kovur
2 BHK Apartment,Prabha Homes,9499840,904,Madipakkam
3 BHK Villa,Anjali Properties,11500000,2033,Thalambur
3 BHK Apartment,Seven G Property Pvt Ltd,16600000,1400,Gopalapuram
2 BHK Independent House,IRAIVAN VILLAS,7500000,1150,Kovur
2 BHK Independent House,IRAIVAN VILLAS,8000000,1200,Chikkarayapuram
2 BHK Apartment,Thenaruvi Homes,4536000,840,Gerugambakkam
3 BHK Independent House,Thenaruvi Homes,11000500,1549,Gerugambakkam
3 BHK Independent House,Thenaruvi Homes,11005000,1548,Gerugambakkam
4 BHK Villa,Modi Properties,11500000,2100,kanakpura
4 BHK Villa,Modi Properties,11000000,1750,kanakpura
3 BHK Villa,STAAR HOMES OFFICIAL,8700000,1321,Pudupakkam
2 BHK Independent House,SRI ANNAI ENTERPRISES,6024000,1160,West Tambaram
3 BHK Apartment,Venkatesan,26781100,1456,T Nagar
1 BHK Independent House,Venkatesan,2200000,550,Tiruvallur
2 BHK Independent House,Elite Estate,6252300,1097,Peerakankaranai
1 BHK Villa,Elite Estate,4034800,704,Peerakankaranai
3 BHK Villa,Anjali Properties,13469950,1955,Nedunkundram
3 BHK Villa,Anjali Properties,8474700,1230,Nedunkundram
2 BHK Apartment,kishore,7791461,1039,Moulivakkam
2 BHK Independent House,Prop square,3599400,600,Tiruvottiyur
2 BHK Independent House,Prop square,4351000,710,Tiruvottiyur
2 BHK Independent House,Prop square,4325264,700,Tiruvottiyur
2 BHK Independent House,Prop square,4849000,800,Palavaram
2 BHK Independent House,Prop square,4363000,715,Manali
2 BHK Independent House,Prop square,3475000,550,Tiruvottiyur
2 BHK Independent House,Prop square,4849000,800,Tiruvottiyur
2 BHK Independent House,Prop square,4898000,800,Tiruvottiyur
3 BHK Villa,Tharun Vikash Construction,3388000,1540,Thirumazhisai
3 BHK Villa,Tharun Vikash Construction,3220800,1464,Thirumazhisai
2 BHK Apartment,Tharun Vikash Construction,3805000,761,Mangadu
2 BHK Apartment,Tharun Vikash Construction,4130000,826,Mangadu
2 BHK Apartment,Tharun Vikash Construction,4966500,903,Poonamallee
1 BHK Apartment,Tharun Vikash Construction,3448500,627,Poonamallee
3 BHK Apartment,Tharun Vikash Construction,6341500,1153,Poonamallee
2 BHK Apartment,Tharun Vikash Construction,4823500,877,Poonamallee
3 BHK Apartment,Tharun Vikash Construction,6787000,1234,Poonamallee
2 BHK Villa,Tharun Vikash Construction,1399200,636,Thirumazhisai
3 BHK Villa,Tharun Vikash Construction,2695000,1225,Thirumazhisai
2 BHK Villa,Tharun Vikash Construction,1969000,895,Thirumazhisai
2 BHK Villa,Tharun Vikash Construction,1823800,829,Thirumazhisai
2 BHK Villa,Tharun Vikash Construction,2530000,1150,Thirumazhisai
3 BHK Villa,Tharun Vikash Construction,2387000,1085,Thirumazhisai
1 BHK Apartment,Tharun Vikash Construction,2535000,507,Mangadu
2 BHK Apartment,Tharun Vikash Construction,4075000,815,Mangadu
3 BHK Apartment,BRROWNSTONE DEVELOPERS,7320750,1135,Pallikaranai
3 BHK Apartment,Sree sai shubham realty,10000000,1059,Pallavaram
3 BHK Apartment,Modi Properties,6315000,1540,kanakpura
2 BHK Independent House,Lakshmanan,2890000,845,Veppampattu
2 BHK Villa,Lakshmanan,2842000,880,Veppampattu
2 BHK Independent House,Lakshmanan,3920000,1100,Veppampattu
3 BHK Apartment,Modi Properties,6315000,1540,kanakpura
2 BHK Apartment,Mageshwaran,5500001,885,Madambakkam
2 BHK Apartment,Mageshwaran,5800000,938,Madambakkam
1 BHK Apartment,Mageshwaran,3200000,589,Madambakkam
1 BHK Apartment,Mageshwaran,3200000,596,Madambakkam
2 BHK Apartment,Property Prominence,11000000,1102,Ramapuram
2 BHK Independent House,Elite Estate,4544800,704,Kandigai
2 BHK Independent House,Elite Estate,6472300,1097,Peerakankaranai
3 BHK Apartment,SRajathi Shanmugam,20899724,1815,KK Nagar
3 BHK Apartment,SRajathi Shanmugam,20945784,1819,KK Nagar
4 BHK Independent House,Radhabalan constructions,9800000,1850,Kovur
2 BHK Independent House,Radhabalan constructions,12500000,1400,Kovur
2 BHK Apartment,Square feet,4000000,920,Ambattur
2 BHK Apartment,Anjali Properties,4853216,1184,Kovur
2 BHK Apartment,Anjali Properties,4186125,915,Guduvancheri
2 BHK Villa,ADIR ENTERPRISES,4540000,820,Nellitopa
3 BHK Apartment,ADIR ENTERPRISES,6234000,1350,Avadi
2 BHK Apartment,ADIR ENTERPRISES,4690000,1040,Avadi
2 BHK Apartment,ADIR ENTERPRISES,4710000,942,Avadi
3 BHK Apartment,Dhamoder realty,13170000,1317,Perungudi
1 BHK Independent House,JD properties,1992300,525,Kumaran Nagar
2 BHK Apartment,Balaji,5811600,1002,Kovilambakkam
2 BHK Apartment,Balaji,5225800,901,Kovilambakkam
2 BHK Apartment,Balaji,5921800,1021,Kovilambakkam
2 BHK Apartment,Balaji,5759400,993,Kovilambakkam
2 BHK Apartment,Balaji,5887000,1015,Kovilambakkam
2 BHK Villa,Value reality,5648200,900,Mannivakkam
2 BHK Apartment,AV construction,5256250,840,Madipakkam
1 BHK Apartment,AV construction,3594000,598,Madipakkam
1 BHK Apartment,AV construction,3594000,599,Madipakkam
1 BHK Apartment,AV construction,3594000,600,Madipakkam
2 BHK Independent House,SRI ANNAI ENTERPRISES,6010000,1110,West
2 BHK Independent House,SRI ANNAI ENTERPRISES,6050000,1042,West Tambaram
2 BHK Independent House,SRI ANNAI ENTERPRISES,5865000,987,West Tambaram
2 BHK Independent House,SRI ANNAI ENTERPRISES,5865000,977,West Tambaram
2 BHK Independent House,SRI ANNAI ENTERPRISES,6050000,1050,West Tambaram
2 BHK Apartment,Anjali Properties,3284281,618,Guduvancheri
2 BHK Independent House,Anjali Properties,14598500,2150,Medavakkam
2 BHK Independent House,Anjali Properties,8500000,1100,Thandalam
3 BHK Villa,Anjali Properties,11712750,1725,Mambakam
2 BHK Villa,Anjali Properties,10456600,1540,Madambakkam
1 BHK Independent House,JD properties,1995600,525,Kumaran Nagar
4 BHK Independent House,GL Reddy Home Enterprises,60000000,2700,Palavakkam
2 BHK Apartment,GL Reddy Home Enterprises,12000000,1125,Palavakkam
2 BHK Apartment,SS PROPERTIES,6090800,1050,Pammal
3 BHK Villa,SUN Builders,13415000,1664,Madambakkam
3 BHK Villa,SUN Builders,11000000,1562,Sithalapakkam
3 BHK Villa,SUN Builders,10900000,1562,Sithalapakkam
3 BHK Villa,SUN Builders,11870000,1562,Sholinganallur
3 BHK Villa,SUN Builders,10800000,1562,Kamaraj Nagar
3 BHK Villa,SUN Builders,12350000,1562,Nanmangalam
2 BHK Villa,SUN Builders,10000000,1260,Kamaraj Nagar
3 BHK Villa,SUN Builders,13135000,1562,Madambakkam
3 BHK Villa,SUN Builders,13155000,1562,Madambakkam
3 BHK Villa,SUN Builders,13160000,1562,Madambakkam
3 BHK Villa,SUN Builders,13170000,1562,Madambakkam
3 BHK Villa,SUN Builders,13180000,1562,Madambakkam
2 BHK Villa,Lakshmanan,3610000,1010,Veppampattu
2 BHK Independent House,Lakshmanan,2810000,880,Veppampattu
2 BHK Independent House,Phoneix Homes,4578800,750,Padianallur
3 BHK Independent House,Phoneix Homes,3969200,900,Padianallur
2 BHK Independent House,Phoneix Homes,4132200,700,Padianallur
2 BHK Independent House,Phoneix Homes,3507600,850,Padianallur
2 BHK Independent House,Phoneix Homes,4324200,650,Perumanttunallur
2 BHK Villa,Phoneix Homes,4190000,725,Balaji Nagar
1 BHK Independent House,Phoneix Homes,3320000,550,Padianallur
1 BHK Independent House,Phoneix Homes,3333333,500,Padianallur
2 BHK Apartment,KAP VENTURES,15500000,1195,Navallur
2 BHK Villa,Murugan Sangaamam Properte,6821500,1000,West Tambaram
2 BHK Villa,Hi tech Durai,4100000,800,Pudupakkam
3 BHK Independent House,Hi tech Durai,5999999,1100,Siruseri
3 BHK Villa,Hi tech Durai,6900000,1300,Pudupakkam
4 BHK Independent House,RS CONSTRUCTION,15000000,3000,Kolathur
4 BHK Independent House,RS CONSTRUCTION,15000000,2400,Puzhal
3 BHK Apartment,ADIR ENTERPRISES,8900976,1239,Mogappair
3 BHK Apartment,ADIR ENTERPRISES,6796620,1238,Mogappair
2 BHK Apartment,ADIR ENTERPRISES,6857010,1249,Mogappair
2 BHK Apartment,ADIR ENTERPRISES,6851520,1248,Mogappair
1 BHK Apartment,ADIR ENTERPRISES,3649697,665,Mogappair
2 BHK Independent House,Phoneix Homes,4132200,700,Padianallur
2 BHK Independent House,Phoneix Homes,3507600,850,Padianallur
2 BHK Independent House,Phoneix Homes,4324200,650,Perumanttunallur
2 BHK Villa,Phoneix Homes,4190000,725,Balaji Nagar
1 BHK Independent House,Phoneix Homes,3320000,550,Padianallur
1 BHK Independent House,Phoneix Homes,3333333,500,Padianallur
2 BHK Independent House,Phoneix Homes,4578800,750,Padianallur
3 BHK Independent House,Phoneix Homes,3969200,900,Padianallur
2 BHK Apartment,KAP VENTURES,15500000,1195,Navallur
2 BHK Villa,Murugan Sangaamam Properte,6821500,1000,West Tambaram
2 BHK Villa,Hi tech Durai,4100000,800,Pudupakkam
3 BHK Villa,Hi tech Durai,6900000,1300,Pudupakkam
3 BHK Independent House,Hi tech Durai,5999999,1100,Siruseri
4 BHK Independent House,RS CONSTRUCTION,15000000,2400,Puzhal
4 BHK Independent House,RS CONSTRUCTION,15000000,3000,Kolathur
3 BHK Apartment,ADIR ENTERPRISES,17330220,1437,Saligramam
3 BHK Apartment,ADIR ENTERPRISES,19103040,1584,Saligramam
3 BHK Apartment,ADIR ENTERPRISES,21925080,1818,Saligramam
3 BHK Apartment,ADIR ENTERPRISES,22696920,1882,Saligramam
3 BHK Apartment,ADIR ENTERPRISES,21913020,1817,Saligramam
2 BHK Apartment,ADIR ENTERPRISES,6626430,1207,Mogappair
3 BHK Apartment,ADIR ENTERPRISES,10596400,1475,Mogappair
2 BHK Apartment,ADIR ENTERPRISES,6620940,1206,Mogappair
1 BHK Apartment,ADIR ENTERPRISES,4326120,788,Mogappair
1 BHK Apartment,ADIR ENTERPRISES,4281376,780,Mogappair
2 BHK Apartment,ADIR ENTERPRISES,5801667,1057,Mogappair
3 BHK Apartment,ADIR ENTERPRISES,11293248,1572,Mogappair
1 BHK Apartment,ADIR ENTERPRISES,3530070,643,Mogappair
2 BHK Apartment,ADIR ENTERPRISES,6516630,1187,Mogappair
1 BHK Apartment,ADIR ENTERPRISES,3900094,638,Mogappair
1 BHK Apartment,ADIR ENTERPRISES,3469680,632,Mogappair
2 BHK Apartment,ADIR ENTERPRISES,5627250,1025,Mogappair
2 BHK Apartment,ADIR ENTERPRISES,7131510,1299,Mogappair
2 BHK Apartment,ADIR ENTERPRISES,6274795,1143,Mogappair
3 BHK Apartment,ADIR ENTERPRISES,9217710,1679,Mogappair
3 BHK Apartment,ADIR ENTERPRISES,8493030,1547,Mogappair
2 BHK Apartment,ADIR ENTERPRISES,5610780,1022,Mogappair
2 BHK Apartment,ADIR ENTERPRISES,7043670,1283,Mogappair
2 BHK Apartment,ADIR ENTERPRISES,7038180,1282,Mogappair
2 BHK Apartment,ADIR ENTERPRISES,5605290,1021,Mogappair
3 BHK Apartment,ADIR ENTERPRISES,11120832,1548,Mogappair
2 BHK Apartment,ADIR ENTERPRISES,6911910,1259,Mogappair
2 BHK Apartment,ADIR ENTERPRISES,6906420,1258,Mogappair
2 BHK Apartment,ADIR ENTERPRISES,6900930,1257,Mogappair
1 BHK Apartment,ADIR ENTERPRISES,4809240,876,Mogappair
2 BHK Apartment,ADIR ENTERPRISES,6236640,1136,Mogappair
2 BHK Apartment,ADIR ENTERPRISES,6231150,1135,Mogappair
3 BHK Apartment,ADIR ENTERPRISES,11020256,1534,Mogappair
3 BHK Apartment,ADIR ENTERPRISES,17330220,1437,Saligramam
3 BHK Apartment,ADIR ENTERPRISES,19103040,1584,Saligramam
3 BHK Apartment,ADIR ENTERPRISES,21925080,1818,Saligramam
3 BHK Apartment,ADIR ENTERPRISES,22696920,1882,Saligramam
3 BHK Apartment,ADIR ENTERPRISES,21913020,1817,Saligramam
3 BHK Apartment,ADIR ENTERPRISES,17209620,1427,Saligramam
3 BHK Apartment,ADIR ENTERPRISES,20357280,1688,Saligramam
3 BHK Apartment,ADIR ENTERPRISES,17173440,1424,Saligramam
3 BHK Apartment,ADIR ENTERPRISES,20429640,1694,Saligramam
4 BHK Independent House,ADIR ENTERPRISES,37036260,3071,Saligramam
4 BHK Independent House,ADIR ENTERPRISES,37024200,3070,Saligramam
3 BHK Apartment,ADIR ENTERPRISES,17716140,1469,Saligramam
2 BHK Apartment,ADIR ENTERPRISES,7043670,1283,Mogappair
2 BHK Apartment,ADIR ENTERPRISES,7038180,1282,Mogappair
2 BHK Apartment,ADIR ENTERPRISES,5605290,1021,Mogappair
3 BHK Apartment,ADIR ENTERPRISES,11120832,1548,Mogappair
2 BHK Apartment,ADIR ENTERPRISES,6911910,1259,Mogappair
2 BHK Apartment,ADIR ENTERPRISES,6906420,1258,Mogappair
2 BHK Apartment,ADIR ENTERPRISES,6900930,1257,Mogappair
1 BHK Apartment,ADIR ENTERPRISES,4809240,876,Mogappair
2 BHK Apartment,ADIR ENTERPRISES,6236640,1136,Mogappair
2 BHK Apartment,ADIR ENTERPRISES,6231150,1135,Mogappair
3 BHK Apartment,ADIR ENTERPRISES,11020256,1534,Mogappair
2 BHK Apartment,ADIR ENTERPRISES,7671580,1295,Avadi
3 BHK Apartment,ADIR ENTERPRISES,8447624,1426,Avadi
3 BHK Apartment,ADIR ENTERPRISES,8465396,1429,Avadi
2 BHK Apartment,ADIR ENTERPRISES,5434000,1045,Avadi
3 BHK Apartment,ADIR ENTERPRISES,7696000,1480,Avadi
3 BHK Apartment,ADIR ENTERPRISES,7446400,1432,Avadi
2 BHK Villa,Value reality,5955500,900,Mannivakkam
2 BHK Apartment,Fantasy Realtors,5500000,931,Madipakkam
2 BHK Apartment,hopes groups,12940000,1001,West Mambalam
2 BHK Apartment,hopes groups,13040000,1009,West Mambalam
3 BHK Independent House,Elite Estate,6781600,980,Selaiyur
2 BHK Independent House,Revahs Construction Services,8000000,900,Kovur
2 BHK Apartment,Prop Identity,7650000,900,Maduravoyal
3 BHK Apartment,Prop Identity,10676000,1256,Maduravoyal
2 BHK Apartment,Prop Identity,3915000,870,Avadi
2 BHK Apartment,Prop Identity,4365000,970,Avadi
2 BHK Independent House,RR housing Deepa,7400000,1050,Pozhichalur
2 BHK Apartment,Prop Identity,5428800,936,Ayanambakkam
2 BHK Apartment,Prop Identity,5852200,1009,Ayanambakkam
3 BHK Apartment,RTS Real Estate Consultant,16000000,1455,Ekkatuthangal
4 BHK Apartment,RTS Real Estate Consultant,20000000,1880,Saidapet
4 BHK Apartment,RTS Real Estate Consultant,39750000,2650,T Nagar
5 BHK Apartment,RPC REALTY,150000000,5000,Raja Annamalai Puram
4 BHK Apartment,RPC REALTY,85000000,3000,Raja Annamalai Puram
2 BHK Independent House,Elite Estate,7845000,1089,Thalambur
3 BHK Apartment,GURUSWAMY CONSTRUCTIONS,7000000,1002,Kolathur
2 BHK Apartment,GURUSWAMY CONSTRUCTIONS,5200000,860,Kolathur
2 BHK Apartment,Square feet,7000000,890,Maduravoyal
3 BHK Independent House,Anjali Properties,7900000,1450,Thandalam
2 BHK Apartment,GL Reddy Home Enterprises,6900000,815,Kotivakkam
3 BHK Independent House,GSN HOMES AND LANDS,13000000,1800,Kolathur
